Required Level,Rank,Point,Shield,Attack,Defense,HP
50,New Trainee,3998,1501,0,0,0
50,Trainee,6997,1760,0,0,0
50,Senior Trainee,8996,1961,0,0,0
50,Elite Trainee,16934,2216,0,0,0
75,New Infantry,20321,2392,0,0,0
75,Infantry,24386,2641,0,0,0
75,Senior Infantry,29263,2899,0,0,0
75,Elite Infantry,52440,3171,0,0,0
100,New Guard,62928,3395,0,0,0
100,Guard,75513,3710,0,0,0
100,Senior Guard,90616,3902,0,0,0
100,Elite Guard,295296,4236,0,0,0
131,New Esquire,354355,4344,35,20,400
131,Esquire,425226,4452,39,24,430
131,Senior Esquire,510271,4609,43,28,460
131,Elite Esquire,1025339,4742,47,32,490
131,New Knight,1230407,4819,62,47,590
131,Knight,1476488,4895,66,51,620
131,Senior Knight,1771785,4972,70,55,650
131,Elite Knight,2126143,5049,74,59,680
131,New White Knight,2551371,5125,99,74,780
131,White Knight,3061645,5202,105,80,810
131,Senior White Knight,3673974,5278,111,86,840
131,Elite White Knight,5073721,5355,117,92,870
131,New Blue Knight,6088465,5432,142,112,990
131,Blue Knight,7306158,5509,148,118,1040
131,Senior Blue Knight,8767389,5586,154,124,1090
131,Elite Blue Knight,10520867,5661,160,130,1140
